id,price,total_area,living_area,rooms,floor,total_floors,year,distance,balcony,condition,type,district,url
79,4500000.0,24.1,15.5,0,3,16,2022,879.0,лоджия,требует ремонта,Квартира-студия,Октябрьский,https://www.avito.ru/barnaul/kvartiry/kvartira-studiya_241_m_316_et._4535280426?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJJeFU1ZmQ0eXM1V2RPRHpNIjt9h3zt8T8AAAA
80,8280000.0,60.0,35.3,3,4,23,1970,1220.0,лоджия,Неизвестно,квартира,Центральный,https://www.avito.ru/barnaul/kvartiry/3-k._kvartira_60_m_423_et._4424036803?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLUGZFd1phSGJIM3RieWhCIjt98eiLOT8AAAA
81,8850000.0,97.9,49.0,3,4,5,1988,1019.0,Нет,требует ремонта,квартира,Центральный,https://www.avito.ru/barnaul/kvartiry/3-k._kvartira_979_m_45_et._4360792281?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmYXdIYmVNdXlDZU9oM0oyIjt9BT2ecj8AAAA
82,8325800.0,62.6,35.8,3,7,18,1970,1289.0,лоджия,Неизвестно,квартира,Индустриальный,https://www.avito.ru/barnaul/kvartiry/3-k._kvartira_626_m_718_et._4423937759?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI3YWRacVZGcTFIS04xTE9JIjt9kUIIkj8AAAA
83,11964000.0,99.7,0.0,4,4,10,1970,837.0,лоджия,Неизвестно,квартира,Индустриальный,https://www.avito.ru/barnaul/kvartiry/4-k._kvartira_997_m_410_et._4837591944?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJJbk1PUUxUUWdpUndiSlpEIjt9Gwf-nz8AAAA
84,8280000.0,60.0,35.3,3,4,23,1970,740.0,лоджия,Неизвестно,квартира,Центральный,https://www.avito.ru/barnaul/kvartiry/3-k._kvartira_60_m_423_et._4424036803?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJCaEJyM2Q3Yjc5eUlUMllLIjt9Oqfmoz8AAAA
85,4696800.0,24.7,0.0,0,13,16,1970,1145.0,лоджия,Неизвестно,Квартира-студия,Железнодорожный,https://www.avito.ru/barnaul/kvartiry/kvartira-studiya_247_m_1316_et._3751502423?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJnMFRRMlV4M3NNNWpPMVl5Ijt9VEMHaz8AAAA
86,1940200.0,21.8,18.9,0,3,5,1970,235.0,Нет,косметический,Апартаменты-студия,Октябрьский,https://www.avito.ru/barnaul/kvartiry/apartamenty-studiya_218_m_35_et._4515702877?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJKMkYzREkxS1d3alEyY1JIIjt9HjkpvT8AAAA
87,9177600.0,71.7,42.6,3,7,17,1970,930.0,лоджия,Неизвестно,квартира,Индустриальный,https://www.avito.ru/barnaul/kvartiry/3-k._kvartira_717_m_717_et._4423836810?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJoY1JLemE2TUtoUUhsYm5SIjt9IWb0Tz8AAAA
88,3999000.0,44.1,0.0,2,5,5,1971,365.0,балкон,косметический,квартира,Ленинский,https://www.avito.ru/barnaul/kvartiry/2-k._kvartira_441_m_55_et._4614739625?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJvNklqelFBSnc3blNQS3B3Ijt9ztsxyz8AAAA
